Score,Level,Mean1,SD1,Mean2,SD2,Mean3,SD3
Structure,3,NA,NA,NA,NA,-0.3051,0.6861
Structure,4,0.010054404,0.673167092,-0.367265644,0.699828601,-0.2503,0.7087
Structure,5,NA,NA,NA,NA,-0.2171,0.7238
Structure,6,NA,NA,NA,NA,-0.1370,0.7226
Structure,7,NA,NA,NA,NA,-0.1370,0.7226
Structure,8,NA,NA,NA,NA,-0.0854,0.7159
Structure,9,NA,NA,NA,NA,-0.0506,0.7757
Tolerance.of.Ambiguity,1,0.4416,0.77711,0.819647461,0.57487386,0.8455,0.5730
Tolerance.of.Ambiguity,2,0.4416,0.77711,0.819647461,0.57487386,0.8455,0.5730
Tolerance.of.Ambiguity,3,0.4416,0.77711,0.840993625,0.593588641,0.7977,0.6196
Tolerance.of.Ambiguity,4,0.3485,0.80127,0.793092279,0.596709854,0.7321,0.6307
Tolerance.of.Ambiguity,5,0.1647,0.81299,0.767000926,0.636168163,0.6920,0.6558
Tolerance.of.Ambiguity,6,0.1647,0.81299,0.646642745,0.666705471,0.5929,0.6840
Tolerance.of.Ambiguity,7,-0.0684,0.81798,0.546006801,0.69128561,0.4941,0.6782
Tolerance.of.Ambiguity,8,-0.0684,0.81798,0.546006801,0.69128561,0.4941,0.6782
Tolerance.of.Ambiguity,9,-0.1954,0.80707,0.223995975,0.834570069,0.3607,0.7451
Trust,1,0.458793872,0.706346331,0.7980128,0.577844851,0.7803,0.5704
Trust,2,0.458793872,0.706346331,0.7980128,0.577844851,0.7803,0.5704
Trust,3,NA,NA,NA,NA,0.7567,0.5839
Trust,4,0.484687687,0.709079957,0.78745358,0.589304214,0.7487,0.5868
Trust,5,NA,NA,NA,NA,0.7467,0.6019
Trust,6,NA,NA,NA,NA,0.7501,0.6171
Trust,7,NA,NA,NA,NA,0.6867,0.6363
Trust,8,NA,NA,NA,NA,0.6867,0.6363
Trust,9,NA,NA,NA,NA,0.6907,0.6757
Volatile,1,-1.2532,1.23371,-1.2532,1.23371,-1.6096,0.9259
Volatile,2,-1.2532,1.23371,-1.2532,1.23371,-1.6096,0.9259
Volatile,3,-1.2532,1.23371,-1.2532,1.23371,-1.5315,0.9567
Volatile,4,-1.2066,1.26895,-1.2066,1.26895,-1.5410,0.9561
